element_tran,node1,node2
O=C(N(c1ccccc1)[*:3])[*:3] --->>>--- C1=Cc2ccccc2N([*:3])C1=C[*:3],O=C(N(c1ccccc1)[*:3])[*:3],C1=Cc2ccccc2N([*:3])C1=C[*:3]
O=C(N(c1ccccc1)[*:1])[*:1] --->>>--- C(=C1Sc2ccccc2N1C[*:1])[*:1],O=C(N(c1ccccc1)[*:1])[*:1],C(=C1Sc2ccccc2N1C[*:1])[*:1]
O=C(N(c1ccccc1)[*:2])[*:2] --->>>--- C(=C1Sc2ccccc2N1C[*:2])[*:2],O=C(N(c1ccccc1)[*:2])[*:2],C(=C1Sc2ccccc2N1C[*:2])[*:2]
O=C(N(c1ccccc1)[*:3])[*:3] --->>>--- C(=C1Sc2ccccc2N1C[*:3])[*:3],O=C(N(c1ccccc1)[*:3])[*:3],C(=C1Sc2ccccc2N1C[*:3])[*:3]
O=C(N(C=C[*:1])c1ccccc1)[*:1] --->>>--- CN1C(=CC=C[*:1])C(C)([*:1])c2ccccc21,O=C(N(C=C[*:1])c1ccccc1)[*:1],CN1C(=CC=C[*:1])C(C)([*:1])c2ccccc21
O=C(N(C=C[*:2])c1ccccc1)[*:2] --->>>--- CN1C(=CC=C[*:2])C(C)([*:2])c2ccccc21,O=C(N(C=C[*:2])c1ccccc1)[*:2],CN1C(=CC=C[*:2])C(C)([*:2])c2ccccc21
O=C(N(C=C[*:3])c1ccccc1)[*:3] --->>>--- CN1C(=CC=C[*:3])C(C)([*:3])c2ccccc21,O=C(N(C=C[*:3])c1ccccc1)[*:3],CN1C(=CC=C[*:3])C(C)([*:3])c2ccccc21
O=C(N(C=C[*:1])c1ccccc1)[*:1] --->>>--- CC1(C)C(=CC=C[*:1])N([*:1])c2ccccc21,O=C(N(C=C[*:1])c1ccccc1)[*:1],CC1(C)C(=CC=C[*:1])N([*:1])c2ccccc21
O=C(N(C=C[*:2])c1ccccc1)[*:2] --->>>--- CC1(C)C(=CC=C[*:2])N([*:2])c2ccccc21,O=C(N(C=C[*:2])c1ccccc1)[*:2],CC1(C)C(=CC=C[*:2])N([*:2])c2ccccc21
O=C(N(C=C[*:3])c1ccccc1)[*:3] --->>>--- CC1(C)C(=CC=C[*:3])N([*:3])c2ccccc21,O=C(N(C=C[*:3])c1ccccc1)[*:3],CC1(C)C(=CC=C[*:3])N([*:3])c2ccccc21
O=C(N(C=C[*:1])c1ccccc1)[*:1] --->>>--- C(=C[*:1])C=C1Sc2ccccc2N1C[*:1],O=C(N(C=C[*:1])c1ccccc1)[*:1],C(=C[*:1])C=C1Sc2ccccc2N1C[*:1]
O=C(N(C=C[*:2])c1ccccc1)[*:2] --->>>--- C(=C[*:2])C=C1Sc2ccccc2N1C[*:2],O=C(N(C=C[*:2])c1ccccc1)[*:2],C(=C[*:2])C=C1Sc2ccccc2N1C[*:2]
O=C(N(C=C[*:3])c1ccccc1)[*:3] --->>>--- C(=C[*:3])C=C1Sc2ccccc2N1C[*:3],O=C(N(C=C[*:3])c1ccccc1)[*:3],C(=C[*:3])C=C1Sc2ccccc2N1C[*:3]
O=C(N(C=C[*:1])c1ccccc1)[*:1] --->>>--- C(=C[*:1])C=C1C=Cc2ccccc2N1[*:1],O=C(N(C=C[*:1])c1ccccc1)[*:1],C(=C[*:1])C=C1C=Cc2ccccc2N1[*:1]
O=C(N(C=C[*:2])c1ccccc1)[*:2] --->>>--- C(=C[*:2])C=C1C=Cc2ccccc2N1[*:2],O=C(N(C=C[*:2])c1ccccc1)[*:2],C(=C[*:2])C=C1C=Cc2ccccc2N1[*:2]
O=C(N(C=C[*:3])c1ccccc1)[*:3] --->>>--- C(=C[*:3])C=C1C=Cc2ccccc2N1[*:3],O=C(N(C=C[*:3])c1ccccc1)[*:3],C(=C[*:3])C=C1C=Cc2ccccc2N1[*:3]
O=C(c1ccc([*:1])s1)N1CCCCC1 --->>>--- CN(C)c1cccc([*:1])c1,O=C(c1ccc([*:1])s1)N1CCCCC1,CN(C)c1cccc([*:1])c1
O=C(c1ccc([*:2])s1)N1CCCCC1 --->>>--- CN(C)c1cccc([*:2])c1,O=C(c1ccc([*:2])s1)N1CCCCC1,CN(C)c1cccc([*:2])c1
O=C(c1ccc([*:3])s1)N1CCCCC1 --->>>--- CN(C)c1cccc([*:3])c1,O=C(c1ccc([*:3])s1)N1CCCCC1,CN(C)c1cccc([*:3])c1
O=C(c1ccc([*:1])s1)N1CCCCC1 --->>>--- CN(C)c1ccc([*:1])cc1,O=C(c1ccc([*:1])s1)N1CCCCC1,CN(C)c1ccc([*:1])cc1
O=C(c1ccc([*:2])s1)N1CCCCC1 --->>>--- CN(C)c1ccc([*:2])cc1,O=C(c1ccc([*:2])s1)N1CCCCC1,CN(C)c1ccc([*:2])cc1
O=C(c1ccc([*:3])s1)N1CCCCC1 --->>>--- CN(C)c1ccc([*:3])cc1,O=C(c1ccc([*:3])s1)N1CCCCC1,CN(C)c1ccc([*:3])cc1
O=C(C=C[*:1])OCc1ccccc1 --->>>--- CN(C)c1ccc([*:1])cc1,O=C(C=C[*:1])OCc1ccccc1,CN(C)c1ccc([*:1])cc1
O=C(C=C[*:2])OCc1ccccc1 --->>>--- CN(C)c1ccc([*:2])cc1,O=C(C=C[*:2])OCc1ccccc1,CN(C)c1ccc([*:2])cc1
O=C(C=C[*:3])OCc1ccccc1 --->>>--- CN(C)c1ccc([*:3])cc1,O=C(C=C[*:3])OCc1ccccc1,CN(C)c1ccc([*:3])cc1
O=[N+]([O-])c1cccc([*:1])c1 --->>>--- COc1cccc([*:1])c1,O=[N+]([O-])c1cccc([*:1])c1,COc1cccc([*:1])c1
O=[N+]([O-])c1cccc([*:2])c1 --->>>--- COc1cccc([*:2])c1,O=[N+]([O-])c1cccc([*:2])c1,COc1cccc([*:2])c1
O=[N+]([O-])c1cccc([*:3])c1 --->>>--- COc1cccc([*:3])c1,O=[N+]([O-])c1cccc([*:3])c1,COc1cccc([*:3])c1
