smiles,predicted_prob,predicted_label,SA_Score
CCN1C(=CC=CC=CC2=[N+](CC)c3ccccc3C2(C=CC=CC=C2N(CC)c3ccccc3C2(C)C)C=CC=CC=C2N(CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.8184072854509842,1,4.21
CC[N+]1=C(/C=C/C=C/C=C2\N(C(C)c3ccc(OC)cc3)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.8170243556097113,1,3.57
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)CC=CC=C2C=C(c3ccccc3)Oc3cc(N(C)C)ccc32)C(C)(C)c2ccccc21,0.8130364855640737,1,4.26
C#Cc1ccc(c2cccc3c2[N+](CC)=C(/C=C/C=C/C=C2\N(CC)c4ccccc4C2(C)C)C3(C)C)cc1,0.8121305095797164,1,3.32
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(CC=Cc2ccc(N(C)C)cc2)c2ccccc21,0.8118038555734238,1,3.78
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)CC=CC=CC=C2C=C(c3ccccc3)Oc3cc(N(C)C)ccc32)C(C)(C)c2ccccc21,0.8103246963922399,1,4.36
CC[N+]1=C(/C=C/C=C/C=C2\N(CCCl)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.8094087924880541,1,3.14
CCN1/C(=C\C=C(\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C=CC=CC=C2C=C(c3ccccc3)Oc3cc(N(C)C)ccc32)C(C)(C)c2ccccc21,0.8073144356957178,1,3.96
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3cccc(C=C4C=Cc5ccccc5N4C)c3C2(C)C)C(C)(C)c2ccccc21,0.806339474115143,1,3.60
CCN1/C(=C\C=C\C=C\C2=[N+](CCC=Cc3c[nH]c4ccccc34)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.8059964396589824,1,3.35
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3c(cccc3C=C3C=Cc4ccccc4N3C)C2(C)C)C(C)(C)c2ccccc21,0.8043455166638118,1,3.62
CC[N+]1=C(C=CC=CC=C2N(CC=CC3=[N+](CC)c4ccccc4C3(C)C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.8041888717979438,1,3.64
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3c(cccc3c3ccc(N(C)C)cc3)C2(C)C)C(C)(C)c2ccccc21,0.8030795852365318,1,3.23
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3c(cccc3c3ccc(OC)cc3)C2(C)C)C(C)(C)c2ccccc21,0.8025769730999539,1,3.14
CC[N+]1=C(/C=C/C=C/C=C2\N(C(C)C=Cc3ccc(OC)cc3OC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.7990311649174916,1,3.87
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2c1cccc2c1ccc(N(C)C)cc1,0.799001536533455,1,3.24
CCN1/C(=C\C=C\C=C(\C2=[N+](CC)c3ccccc3C2(C)C)C=Cc2ccc(N3c4ccccc4CCc4ccccc43)cc2)C(C)(C)c2ccccc21,0.7980371922435406,1,3.58
CCN1C(=CC=CC=CC2=[N+](CC)c3ccccc3C2(C=C2N(CC)c3ccccc3C2(C)C)C=C2N(CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.7971744741635861,1,3.92
CC[N+]1=C(/C=C/C=C/C=C2\N(CCc3ccc(N)cc3)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.7971014215913951,1,3.07
C#Cc1ccc(c2ccc3c(c2)C(C)(C)C(/C=C/C=C/C=C2\N(CC)c4ccccc4C2(C)C)=[N+]3CC)cc1,0.795181440502383,1,3.23
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3cccc(C=CCl)c3C2(C)C)C(C)(C)c2ccccc21,0.7931136964513552,1,3.42
CCN1/C(=C\C=C\C=C\C2=[N+](C(C)C=CC=CC=C3C=C(c4ccccc4)Oc4cc(N(C)C)ccc43)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.791923981780081,1,4.41
CCN1/C(=C\C=C\C=C\C2=[N+](C(C)C=CC=C3C=C(c4ccccc4)Oc4cc(N(C)C)ccc43)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.791923981780081,1,4.31
CCN1C(=CC=CC=CC2=[N+](CC)c3ccccc3C2(C)C)C(C)(C2=[N+](CC)c3ccccc3C2(C)C)c2ccccc21,0.7906287815132249,1,4.11
C#Cc1ccc(CC[N+]2=C(/C=C/C=C/C=C3\N(CC)c4ccccc4C3(C)C)C(C)(C)c3ccccc32)cc1,0.7899375388555149,1,3.21
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3c(cccc3C=Cc3ccc(OC)cc3OC)C2(C)C)C(C)(C)c2ccccc21,0.7873191857030255,1,3.37
CCN1/C(=C\C=C\C=C\C2=[N+](CCC=CC=C3C=Cc4ccccc4N3C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.7867530791254728,1,3.67
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccc(c4ccc(OC)cc4)cc3C2(C)C)C(C)(C)c2ccccc21,0.7864883246469477,1,3.05
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)Cc2ccc([N+](=O)[O-])cc2)C(C)(C)c2ccccc21,0.7847249503826307,1,3.63
